,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
347,2264441238,Carrera a la hora del almuerzo,2019-01-31T12:01:46Z,Run,8613.0,2327,2332,57.0,"[52.372006, 4.937036]",file.fit
348,2264441987,Carrera de tarde,2019-01-29T17:32:49Z,Run,8227.0,2353,2400,43.0,"[52.371318, 4.937342]",file.fit
349,2264441135,Carrera a la hora del almuerzo,2019-01-28T12:37:09Z,Run,8412.0,2410,2410,0,,file.fit
350,2264443036,Carrera de tarde,2019-01-27T17:54:42Z,Run,8448.0,2345,2520,3.0,"[52.371409, 4.935953]",file.fit
351,2264443439,Actividad de mañana,2019-01-19T10:12:28Z,NordicSki,0.0,11147,11147,0,,file.fit
352,2264443002,Carrera de mañana,2019-01-12T10:17:09Z,Run,9509.0,2599,2639,0.0,"[41.40905, 2.165757]",file.fit
353,2264443218,Carrera de noche,2019-01-10T18:45:36Z,Run,10644.0,2660,2660,0,,file.fit
354,2264443651,Carrera de tarde,2019-01-06T13:08:01Z,Run,9197.0,2775,2820,329.0,"[41.39747, 2.124103]",file.fit
355,2264442945,Carrera de tarde,2019-01-03T14:26:42Z,Run,7085.0,2635,2640,371.0,"[41.397461, 2.124669]",file.fit
356,2264441917,Carrera de tarde,2019-01-02T14:31:11Z,Run,9374.0,2432,2850,323.6,"[41.397461, 2.124121]",file.fit
357,2264443347,Carrera a la hora del almuerzo,2018-12-30T11:42:29Z,Run,5412.0,3438,7830,897.0,"[42.475128, 1.771477]",file.fit
358,2264442777,Carrera a la hora del almuerzo,2018-12-29T11:58:54Z,Run,9629.0,2670,2775,34.0,"[41.407214, 2.169664]",file.fit
359,2264443067,Carrera de tarde,2018-12-18T14:34:06Z,Run,8164.0,2619,2700,384.0,"[41.397385, 2.124134]",file.fit
360,2264443338,Carrera de tarde,2018-12-17T14:04:04Z,Run,8678.0,2208,2843,208.4,"[41.399652, 2.121864]",file.fit
361,2264443620,Carrera a la hora del almuerzo,2018-12-15T12:13:06Z,Run,12167.0,5269,6926,7258.0,"[42.529371, 2.019833]",file.fit
